Reference,Species,Average mass (kg),Region,N,total dead,total survived,survival est,SE,95% CI (lower),95% CI (upper),sex,age class,age,Group,Method,survival estimate type,death type,notes
Morrison (2003),Northern Crested Caracara Caracara cheriway,1.1,"Florida, USA",35,4,31,0.876,0.003,,,male,adult,adult,,5,unknown true,indirect,
Morrison (2003),Northern Crested Caracara Caracara cheriway,1.1,"Florida, USA",26,2,24,0.906,0.002,,,female,adult,adult,,5,unknown true,indirect,
Hiraldo et al. (1996),Lesser Kestrel Falco naumanni,0.17,S. Spain,263,85,178,0.677,,,,,adult,adult,1988-1989,3,apparent,indirect,table 5; yearling to adult
Hiraldo et al. (1996),Lesser Kestrel Falco naumanni,0.17,S. Spain,263,45,218,0.828,,,,,adult,adult,1989-1990,3,apparent,indirect,
Hiraldo et al. (1996),Lesser Kestrel Falco naumanni,0.17,S. Spain,263,82,181,0.687,,,,,adult,adult,1990-1991,3,apparent,indirect,
Hiraldo et al. (1996),Lesser Kestrel Falco naumanni,0.17,S. Spain,263,102,161,0.611,,,,,adult,adult,1991-1992,3,apparent,indirect,
Hiraldo et al. (1996),Lesser Kestrel Falco naumanni,0.17,S. Spain,263,67,196,0.745,,,,,adult,adult,1992-1993,3,apparent,indirect,
Prugnolle et al. (2003),Lesser Kestrel Falco naumanni,0.17,S. France,104,34,70,0.67,0.06,,,,adult,adult,,3,apparent,indirect,
Prugnolle et al. (2003),Lesser Kestrel Falco naumanni,0.17,S. Spain,582,192,390,0.67,0.06,,,,adult,adult,,3,apparent,indirect,
Serrano et al. (2005),Lesser Kestrel Falco naumanni,0.17,N. Spain,1915,536,1379,0.72,0.015,,,,adult,adult,large colony,3,apparent,indirect,
Serrano et al. (2005),Lesser Kestrel Falco naumanni,0.17,N. Spain,832,294,538,0.647,0.019,,,,adult,adult,small colony,3,apparent,indirect,
Serrano et al. (2005),Lesser Kestrel Falco naumanni,0.17,N. Spain,871,300,571,0.6553,0.018,,,,adult,adult,medium colony,3,apparent,indirect,
Mihoub et al. (2010),Lesser Kestrel Falco naumanni,0.17,S. France,1421,401,1020,0.718,0.013,,,,adult,adult,,3,apparent,indirect,
Nicoll et al. (2004),Mauritius Kestrel Falco punctatus,0.25,Mauritius,42,8,34,0.8,0.4,,,,adult,adult,fostered,3,apparent,indirect,
Nicoll et al. (2004),Mauritius Kestrel Falco punctatus,0.25,Mauritius,81,16,65,0.8,0.4,,,,adult,adult,hacked,3,apparent,indirect,
Hinnebusch et al. (2010),American Kestrel Falco sparvarius,0.25,"Florida, USA",592,148,444,0.75,,,,male,adult,adult,,3,apparent,indirect,
Hinnebusch et al. (2010),American Kestrel Falco sparvarius,0.25,"Florida, USA",2365,615,1750,0.74,,,,female,adult,adult,,3,apparent,indirect,
McGrady et al. (2015),Sooty Falcon Falco concolor,0.26,Oman,36,12,24,0.656,0.069,,,,adult,adult,,3,apparent,indirect,
Brown et al. (2006),Aplomado Falcon Falco femoralis,0.33," Texas, USA",24,2,22,0.91,,0.75,0.988,,adult,adult,wild,3,apparent,indirect,
Brown et al. (2006),Aplomado Falcon Falco femoralis,0.33," Texas, USA",19,2,17,0.91,,0.75,0.988,,adult,adult,hacked,3,apparent,indirect,
Lieske et al. (2000),Merlin Falco columbarius,0.2," Alberta, Canada",85,32,53,0.62,0.11,,,,adult,second year and older,,3,apparent,indirect,
Steenhof et al. (2006),Prairie Falcon Falco mexicanus,1.5,"Idaho, USA",40,13,27,0.49,,0.4,0.61,female,adult,first year,transmitter,3,apparent,indirect,11-13 mos.old
Gould & Fuller (1995),Peregrine Falcon Falco peregrinus,1.1,W. Greenland,154,24,130,0.788,0.0308,,,,adult,adult,,4,TRUE,direct,
Johnstone (1998),Peregrine Falcon Falco peregrinus,1.1,"Rankin Inlet, NWT, Canada",55,13,42,0.765,0.038,,,male,adult,adult,,3,apparent,indirect,
Johnstone (1998),Peregrine Falcon Falco peregrinus,1.1,"Rankin Inlet, NWT, Canada",88,26,62,0.701,0.032,,,female,adult,adult,,3,apparent,indirect,
Craig et al. (2004),Peregrine Falcon Falco peregrinus,1.1,"Colorado, USA",147,65,82,0.8,0.054,,,,adult,second year and over,,4,TRUE,direct,
Franke et al. (2011),Peregrine Falcon Falco peregrinus,1.1,"Nunavut, Canada",264,71,193,0.73,0.02,,,,adult,adult,both,3,apparent,indirect,
Faccio et al. (2013),Peregrine Falcon Falco peregrinus,1.1,"New England, USA",39,7,32,0.81,,,,,adult,adult,,3,apparent,indirect,potentially >2 years old; CI: 0.74-0.87
Altwegg et al. (2014),Peregrine Falcon Falco peregrinus,1.1,"Cape Town, South Africa",149,22,127,0.852,,,,,adult,adult,,6,TRUE,direct,
Smith et al. (2015),Peregrine Falcon Falco peregrinus,1.1,S.Scotland – N. England,153,29,124,0.81,0.034,,,,adult,adult,,4,TRUE,direct,
Varland et al. (2008),Peregrine Falcon Falco peregrinus,1.1,Washington Coast,80,32,48,0.597,0.054,,,,adult,adult,,3,apparent,indirect,extrapolated from 3-month apparent survival
Altwegg et al. (2003),Common Barn Owl Tyto alba,0.47,Switzerland,334,94,240,0.72,0.044,,,,adult,adult,,4,TRUE,direct,
Altwegg et al. (2006),Common Barn Owl Tyto alba,0.47,Switzerland,1610,692,918,0.57,0.028,,,,adult,adult,,4,TRUE,direct,
Therrien et al. (2012),Snowy Owl Nyctea scandiaca,2,"Nunavut, Canada",12,2,10,0.923,0.057,,,,adult,adult,best case,5,unknown true,indirect,based on 2 confirmed mortalities
Francis & Saurola (2002),Tawny Owl Strix aluco,1.1,Finland,1751,199,1552,0.711,0.024,,,,adult,adult,dataset: recoveries and recaptures-young and adults,4,TRUE,direct,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,41,11,30,0.73,0.05,,,,adult,adult,"Experienced breeders, low prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,57,13,44,0.78,0.07,,,,adult,adult,"Experienced breeders, increasing prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,77,22,55,0.71,0.06,,,,adult,adult,"Experienced breeders, decreasing prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,26,11,15,0.56,0.07,,,,adult,adult,"First-time breeders, low prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,70,32,38,0.55,0.06,,,,adult,adult,"First-time breeders, increasing prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,77,31,46,0.6,0.08,,,,adult,adult,"First-time breeders, decreasing prey",3,apparent,indirect,
Millon et al. (2010),Tawny Owl Strix aluco,1.1,N. England,156,33,123,0.79,0.03,,,male,adult,fourth year,,3,apparent,indirect,
Millon et al. (2010),Tawny Owl Strix aluco,1.1,N. England,156,23,133,0.85,0.03,,,female,adult,third year,,3,apparent,indirect,
Pavon-Jordan et al. (2013),Tawny Owl Strix aluco,1.1,Finland,256,74,182,0.71,0.029,,,female,adult,adult,,3,apparent,indirect,
Bond et al. (2002),Spotted Owl Strix occidentalis,0.5,Western USA,21,3,18,0.86,,0.71,1,,adult,adult,post-fire,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Cle Elum, Washington, USA",211,38,173,0.82,0.023,,,male,adult,second year,,3,apparent,indirect,p.32 of book
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Cle Elum, Washington, USA",211,38,173,0.819,0.013,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Cle Elum, Washington, USA",211,38,173,0.82,0.023,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Cle Elum, Washington, USA",211,38,173,0.819,0.013,,,female,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Rainier, Washington, USA",153,49,104,0.678,0.157,,,male,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Rainier, Washington, USA",153,24,129,0.844,0.018,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Rainier, Washington, USA",153,50,103,0.674,0.156,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Rainier, Washington, USA",153,24,129,0.841,0.019,,,female,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Olympic, Washington, USA",388,72,316,0.814,0.075,,,male,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Olympic, Washington, USA",388,57,331,0.852,0.014,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Olympic, Washington, USA",388,83,305,0.786,0.081,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Olympic, Washington, USA",388,67,321,0.828,0.016,,,female,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Coast Ranges, Oregon, USA",649,86,563,0.868,0.03,,,male,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Coast Ranges, Oregon, USA",649,89,560,0.863,0.008,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Coast Ranges, Oregon, USA",649,88,561,0.864,0.031,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Coast Ranges, Oregon, USA",649,92,557,0.859,0.009,,,female,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"H. J. Andrews, Oregon, USA",576,98,478,0.83,0.042,,,male,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"H. J. Andrews, Oregon, USA",576,78,498,0.864,0.01,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"H. J. Andrews, Oregon, USA",576,98,478,0.83,0.042,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"H. J. Andrews, Oregon, USA",576,78,498,0.865,0.01,,,female,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Tyee, Oregon, USA",490,66,424,0.865,0.019,,,male,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Tyee, Oregon, USA",490,70,420,0.857,0.008,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Tyee, Oregon, USA",490,67,423,0.864,0.02,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Tyee, Oregon, USA",490,71,419,0.856,0.008,,,female,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Klamath, Oregon, USA",650,93,557,0.857,0.02,,,male,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Klamath, Oregon, USA",650,99,551,0.847,0.008,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Klamath, Oregon, USA",650,93,557,0.858,0.02,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Klamath, Oregon, USA",650,99,551,0.848,0.008,,,female,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"South Cascade, Oregon, USA",602,158,444,0.737,0.053,,,male,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"South Cascade, Oregon, USA",602,89,513,0.853,0.01,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"South Cascade, Oregon, USA",602,161,441,0.733,0.053,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"South Cascade, Oregon, USA",602,90,512,0.851,0.01,,,female,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",474,101,373,0.787,0.031,,,male,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",474,73,401,0.846,0.009,,,male,adult,third year and over,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",474,102,372,0.784,0.031,,,female,adult,second year,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",474,74,400,0.844,0.009,,,female,adult,third year and over,,3,apparent,indirect,
Glenn et al. (2011),Spotted Owl Strix occidentalis,0.5,"Pacific Northwest, USA",20,3,17,0.87,0.01,,,,adult,adult and subadult,Tyee,3,apparent,indirect,
Glenn et al. (2011),Spotted Owl Strix occidentalis,0.5,"Pacific Northwest, USA",15,2,13,0.87,0.02,,,,adult,adult and subadult,H.J. Andrews,3,apparent,indirect,
Glenn et al. (2011),Spotted Owl Strix occidentalis,0.5,"Pacific Northwest, USA",16,2,14,0.81,0.03,,,,adult,adult and subadult,Cle Elum,3,apparent,indirect,
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",105,32,73,0.699,0.059,,,male,adult,second year and over,2004,3,apparent,indirect,> 26 months old
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",99,26,73,0.736,0.057,,,female,adult,second year and over,2004,3,apparent,indirect,> 26 months old
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",105,13,92,0.877,0.045,,,male,adult,second year and over,2005,3,apparent,indirect,> 26 months old
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",99,11,88,0.897,0.04,,,female,adult,second year and over,2005,3,apparent,indirect,> 26 months old
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",105,22,83,0.791,0.053,,,male,adult,second year and over,2006,3,apparent,indirect,> 26 months old
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",99,18,81,0.821,0.048,,,female,adult,second year and over,2006,3,apparent,indirect,> 26 months old
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",105,2,103,0.977,0.022,,,male,adult,second year and over,2007,3,apparent,indirect,> 26 months old
