"","Reference","family","EnglishName","Species","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.ground","mass","Average.mass..kg.","Location","sample.size","estimated.dead","estimated.survived","survival.est","SE","X95..CI..lower.","X95..CI..upper.","sex","age","Group","Method","survival.estimate.type","death.type","notes","forage","diet","est.type","spcode","stcode","famcode"
"53","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Eskdale, Scotland",40,17,23,0.65,0.082,NA,NA,"female","sixth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"54","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Eskdale, Scotland",22,11,11,0.591,0.103,NA,NA,"female","seventh year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"55","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Eskdale, Scotland",14,7,7,0.502,0.151,NA,NA,"female","eighth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"56","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Eskdale, Scotland",8,5,3,0.402,0.16,NA,NA,"female","ninth and older","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"57","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Annandale, Scotland",53,31,22,0.501,0.089,NA,NA,"female","second year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"58","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Annandale, Scotland",100,46,54,0.658,0.063,NA,NA,"female","third year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"59","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Annandale, Scotland",93,34,59,0.773,0.066,NA,NA,"female","fourth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"60","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Annandale, Scotland",60,33,27,0.527,0.068,NA,NA,"female","fifth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"61","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Annandale, Scotland",33,14,19,0.663,0.09,NA,NA,"female","sixth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"62","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Annandale, Scotland",19,9,10,0.571,0.122,NA,NA,"female","seventh year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"63","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Annandale, Scotland",11,7,4,0.362,0.152,NA,NA,"female","eighth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"64","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Annandale, Scotland",4,2,2,0.645,0.261,NA,NA,"female","ninth and older","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"65","Schmutz et al. (2008)","accipitridae","Ferruginous Hawk ","Buteo regalis",0,100,0,0,0,0,0,0,0,0,100,0.0307896035981015,1.6,"W. Canada",115,34,81,0.708,0.024,NA,NA,"","adult","",4,"TRUE","direct","*MATURE AT 2 YEARS OF AGE",0.71899252035824,-0.299382219098921,0,14,53,1
"66","Rivera-Parra et al. (2012)","accipitridae","Galapagos Hawk","Buteo galapagoensis",10,50,30,0,0,10,0,0,0,0,100,-0.247793991176325,0.75,"Galapagos, Ecuador",198,12,186,0.94,NA,0.91,0.96,"","adult","",3,"apparent","indirect","",0.71899252035824,-0.109595276634426,1,15,49,1
"67","Hunt (2002)","accipitridae","Golden Eagle ","Aquila chrysaetos",0,80,10,0,0,10,0,0,0,0,100,0.817378577078835,4,"California, USA",47,12,35,0.9087,0.0246,NA,NA,"","adult","breeder",5,"unknown true","indirect","",0.71899252035824,-0.299382219098921,1,16,27,1
"68","Sarrazin et al. (1994)","accipitridae","Griffon Vulture ","Gyps fulvus",0,0,0,0,0,100,0,0,0,0,100,1.83338933449145,7.1,"France",64,4,60,0.987,0.006,NA,NA,"","adult","",3,"apparent","indirect","",0.71899252035824,-0.299382219098921,1,17,50,1
"69","Picozzi (1984)","accipitridae","Northern Harrier ","Circus cyaneus",10,70,10,0,0,10,0,0,0,0,100,0.948476739325624,4.4,"Scotland",27,8,19,0.72,0.07,NA,NA,"male","second to sixth year","",3,"apparent","indirect","Ibis in library",0.71899252035824,-0.109595276634426,1,25,46,1
"70","Picozzi (1984)","accipitridae","Northern Harrier ","Circus cyaneus",10,70,10,0,0,10,0,0,0,0,100,0.948476739325624,4.4,"Scotland",68,7,61,0.9,0.03,NA,NA,"female","second to sixth year","",3,"apparent","indirect","Ibis in library",0.71899252035824,-0.109595276634426,1,25,46,1
"71","Etheridge et al. (1997)","accipitridae","Northern Harrier ","Circus cyaneus",10,70,10,0,0,10,0,0,0,0,100,0.948476739325624,4.4,"Scotland",39,24,15,0.397,NA,0.244,0.6,"","adult","Grouse moorland",3,"apparent","indirect","first to sixth year considered adult",0.71899252035824,-0.109595276634426,1,25,12,1
"72","Etheridge et al. (1997)","accipitridae","Northern Harrier ","Circus cyaneus",10,70,10,0,0,10,0,0,0,0,100,0.948476739325624,4.4,"Scotland",27,9,18,0.778,NA,0.57,0.903,"","adult","Other moorland",3,"apparent","indirect","",0.71899252035824,-0.109595276634426,1,25,12,1
"73","Hiraldo et al. (1996)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"S. Spain",263,85,178,0.687,NA,NA,NA,"","adult","1988-1993",3,"apparent","indirect","table 5; yearling to adult",-0.236673044922915,1.59848720554602,1,18,26,3
"74","Prugnolle et al. (2003)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"S. France",104,34,70,0.67,0.06,NA,NA,"","adult","",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,47,3
"75","Prugnolle et al. (2003)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"S. Spain",582,192,390,0.67,0.06,NA,NA,"","adult","",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,47,3
"76","Serrano et al. (2005)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"N. Spain",1915,536,1379,0.72,0.015,NA,NA,"","adult","large colony",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,54,3
"77","Serrano et al. (2005)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"N. Spain",832,294,538,0.647,0.019,NA,NA,"","adult","small colony",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,54,3
"78","Serrano et al. (2005)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"N. Spain",871,300,571,0.6553,0.018,NA,NA,"","adult","medium colony",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,54,3
"79","Mihoub et al. (2010)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"S. France",1421,401,1020,0.718,0.013,NA,NA,"","adult","",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,37,3
"80","Schaub et al. (2006)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Basel, Switzerland",92,36,56,0.61,0.042,NA,NA,"","adult","",3,"apparent","indirect","most were females",0.400437331931188,1.02912637815254,1,19,52,5
"81","Schaub et al. (2006)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Goppingen, Switzerland",73,25,48,0.659,0.051,NA,NA,"","adult","",3,"apparent","indirect","most were females",0.400437331931188,1.02912637815254,1,19,52,5
"82","Schaub et al. (2006)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Geneve, Switzerland",52,16,36,0.687,0.068,NA,NA,"","adult","",3,"apparent","indirect","before 1 year sexual maturity",0.400437331931188,1.02912637815254,1,19,52,5
"83","Schaub et al. (2006)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Frederichschafen, Switzerland",26,9,17,0.674,0.026,NA,NA,"","adult","",3,"apparent","indirect","",0.400437331931188,1.02912637815254,1,19,52,5
"84","Le Gouar et al. (2011)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Netherlands",4207,1039,3168,0.753,0.019,NA,NA,"","adult","",3,"apparent","indirect","",0.400437331931188,1.02912637815254,1,19,34,5
"85","Thorup et al. (2013)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Denmark",29,1,28,0.98,NA,0.96,0.99,"","adult","",5,"unknown true","indirect","",0.400437331931188,1.02912637815254,1,19,63,5
