"","Reference","family","EnglishName","Species","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.ground","mass","Average.mass..kg.","Location","sample.size","estimated.dead","estimated.survived","survival.est","SE","X95..CI..lower.","X95..CI..upper.","sex","age","Group","Method","survival.estimate.type","death.type","notes","forage","diet","est.type","spcode","stcode","famcode"
"21","Millsap (2002)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"Florida, USA",35,13,22,0.62,0.05,NA,NA,"male","adult","40-60% devt",3,"apparent","indirect","",0.400437331931188,0.0801916658300681,1,9,40,5
"22","Millsap (2002)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"Florida, USA",38,12,26,0.69,0.04,NA,NA,"female","adult","20-39% devt",3,"apparent","indirect","",0.400437331931188,0.0801916658300681,1,9,40,5
"23","Millsap (2002)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"Florida, USA",48,23,25,0.52,0.06,NA,NA,"female","adult","40-60% devt",3,"apparent","indirect","",0.400437331931188,0.0801916658300681,1,9,40,5
"24","Barclay et al. (2011)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"California, USA",342,156,186,0.545,NA,0.479,0.61,"","adult","1996-2007",4,"TRUE","direct","",0.400437331931188,0.0801916658300681,0,9,4,5
"25","Wellicome et al. (2014)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"South-Central Canada",332,186,146,0.44,0.05,NA,NA,"male","adult","",3,"apparent","indirect","",0.400437331931188,0.0801916658300681,1,9,65,5
"26","Wellicome et al. (2014)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"South-Central Canada",407,322,85,0.21,0.03,NA,NA,"female","adult","",3,"apparent","indirect","",0.400437331931188,0.0801916658300681,1,9,65,5
"27","Altwegg et al. (2003)","tytonidae","Common Barn Owl ","Tyto alba",10,80,10,0,0,0,0,0,0,0,90,-0.339562704749077,0.47,"Switzerland",334,94,240,0.72,0.044,NA,NA,"","adult","",4,"TRUE","direct","",0.559714926144714,-0.109595276634426,0,10,1,6
"28","Altwegg et al. (2006)","tytonidae","Common Barn Owl ","Tyto alba",10,80,10,0,0,0,0,0,0,0,90,-0.339562704749077,0.47,"Switzerland",1610,692,918,0.57,0.028,NA,NA,"","adult","",4,"TRUE","direct","",0.559714926144714,-0.109595276634426,0,10,2,6
"29","Kenward et al. (2000)","accipitridae","Common Buzzard ","Buteo buteo",0,90,10,0,0,0,0,0,0,0,100,-0.156025277603573,1.03,"S. England",33,4,29,0.88,NA,NA,NA,"","third year and over","",5,"unknown true","indirect","",0.71899252035824,-0.299382219098921,1,11,31,1
"30","Grande et al. (2009)","accipitridae","Egyptian Vulture ","Neophron percnopterus",10,20,0,10,0,60,0,0,0,0,100,0.292985928091679,2.4,"Spain",86,22,64,0.75,0.02,NA,NA,"","adult","non-breeder",3,"apparent","indirect","",0.71899252035824,-0.109595276634426,1,12,22,1
"31","Newton & Rothery (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"S. Scotland",75,46,29,0.453,0.071,NA,NA,"female","second year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,42,1
"32","Newton & Rothery (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"S. Scotland",85,40,45,0.626,0.063,NA,NA,"female","third year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,42,1
"33","Newton & Rothery (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"S. Scotland",112,52,60,0.609,0.054,NA,NA,"female","fourth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,42,1
"34","Newton & Rothery (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"S. Scotland",53,22,31,0.686,0.071,NA,NA,"female","fifth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,42,1
"35","Newton & Rothery (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"S. Scotland",40,17,23,0.66,0.09,NA,NA,"female","sixth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,42,1
"36","Newton & Rothery (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"S. Scotland",22,11,11,0.571,0.107,NA,NA,"female","seventh year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,42,1
"37","Newton & Rothery (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"S. Scotland",14,7,7,0.516,0.063,NA,NA,"female","eighth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,42,1
"38","Newton & Rothery (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"S. Scotland",6,4,2,0.403,0.153,NA,NA,"female","ninth and older","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,42,1
"39","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",125,59,66,0.631,0.063,NA,NA,"female","second year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"40","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",117,49,68,0.722,0.064,NA,NA,"female","third year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"41","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",118,46,72,0.757,0.059,NA,NA,"female","fourth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"42","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",68,27,41,0.643,0.073,NA,NA,"female","fifth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"43","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",42,19,23,0.642,0.083,NA,NA,"female","sixth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"44","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",25,10,15,0.631,0.107,NA,NA,"female","seventh year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"45","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",13,6,7,0.765,0.146,NA,NA,"female","eighth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"46","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",8,5,3,0.479,0.121,NA,NA,"female","ninth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"47","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",2,1,1,0.479,0.121,NA,NA,"female","tenth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"48","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Rockingham, England",3,2,1,0.479,0.121,NA,NA,"female","eleventh year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"49","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Eskdale, Scotland",75,46,29,0.503,0.08,NA,NA,"female","second year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"50","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Eskdale, Scotland",87,40,47,0.621,0.063,NA,NA,"female","third year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"51","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Eskdale, Scotland",112,52,60,0.62,0.054,NA,NA,"female","fourth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
"52","Newton et al. (1997)","accipitridae","Eurasian Sparrowhawk ","Accipiter nisus",0,100,0,0,0,0,0,0,0,0,20,-0.00198493696359577,1.5,"Eskdale, Scotland",53,22,31,0.635,0.072,NA,NA,"female","fifth year","",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,13,43,1
