Reference,Species,Average mass (kg),Location,sample size,estimated dead,estimated survived,survival est,SE,95% CI (lower),95% CI (upper),sex,age,Group,Method,survival estimate type,death type,notes
Serrano et al. (2005),Lesser Kestrel Falco naumanni,0.17,N. Spain,832,294,538,0.647,0.019,,,,adult,small colony,3,apparent,indirect,
Serrano et al. (2005),Lesser Kestrel Falco naumanni,0.17,N. Spain,871,300,571,0.6553,0.018,,,,adult,medium colony,3,apparent,indirect,
Mihoub et al. (2010),Lesser Kestrel Falco naumanni,0.17,S. France,1421,401,1020,0.718,0.013,,,,adult,,3,apparent,indirect,
Nicoll et al. (2004),Mauritius Kestrel Falco punctatus,0.25,Mauritius,42,8,34,0.8,0.4,,,,adult,fostered,3,apparent,indirect,
Nicoll et al. (2004),Mauritius Kestrel Falco punctatus,0.25,Mauritius,81,16,65,0.8,0.4,,,,adult,hacked,3,apparent,indirect,
Hinnebusch et al. (2010),American Kestrel Falco sparvarius,0.25,"Florida, USA",592,148,444,0.75,,,,male,adult,,3,apparent,indirect,
Hinnebusch et al. (2010),American Kestrel Falco sparvarius,0.25,"Florida, USA",2365,615,1750,0.74,,,,female,adult,,3,apparent,indirect,
McGrady et al. (2015),Sooty Falcon Falco concolor,0.26,Oman,36,12,24,0.656,0.069,,,,adult,,3,apparent,indirect,
Brown et al. (2006),Aplomado Falcon Falco femoralis,0.33,"Texas, USA",24,2,22,0.91,,0.75,0.988,,adult,wild,3,apparent,indirect,
Brown et al. (2006),Aplomado Falcon Falco femoralis,0.33,"Texas, USA",19,2,17,0.91,,0.75,0.988,,adult,hacked,3,apparent,indirect,
Lieske et al. (2000),Merlin Falco columbarius,0.2,"Alberta, Canada",85,32,53,0.62,0.11,,,,second year and older,,3,apparent,indirect,
Steenhof et al. (2006),Prairie Falcon Falco mexicanus,1.5,"Idaho, USA",40,13,27,0.49,,0.4,0.61,female,first year,,3,apparent,indirect,11-13 mos.old
Gould & Fuller (1995),Peregrine Falcon Falco peregrinus,1.1,W. Greenland,154,24,130,0.788,0.0308,,,,adult,,4,TRUE,direct,
Johnstone (1998),Peregrine Falcon Falco peregrinus,1.1,"Rankin Inlet, NWT, Canada",55,13,42,0.765,0.038,,,male,adult,,3,apparent,indirect,
