Order,Family,Scientific,English,Mass
Accipitriformes,Accipitridae,Circus ranivorus,African Marsh-harrier,507
Accipitriformes,Accipitridae,Circus spilonotus,Eastern Marsh-harrier,558.78
Accipitriformes,Accipitridae,Circus approximans,Swamp Harrier,746.19
Accipitriformes,Accipitridae,Circus maillardi,Reunion Harrier,663.6
Accipitriformes,Accipitridae,Circus buffoni,Long-winged Harrier,507.4
Accipitriformes,Accipitridae,Circus assimilis,Spotted Harrier,558.58
Accipitriformes,Accipitridae,Circus maurus,Black Harrier,508.99
Accipitriformes,Accipitridae,Circus cyaneus,Northern Harrier,392.98
Accipitriformes,Accipitridae,Circus cinereus,Cinereous Harrier,399.67
Accipitriformes,Accipitridae,Circus macrourus,Pallid Harrier,384.36
Accipitriformes,Accipitridae,Circus melanoleucos,Pied Harrier,336.3
Accipitriformes,Accipitridae,Circus pygargus,Montagu's Harrier,310.75
Accipitriformes,Accipitridae,Polyboroides typus,African Harrier-hawk,633.24
Accipitriformes,Accipitridae,Polyboroides radiatus,Madagascar Harrier-hawk,570
Accipitriformes,Accipitridae,Kaupifalco monogrammicus,Lizard Buzzard,278.94
Accipitriformes,Accipitridae,Melierax metabates,Dark Chanting-goshawk,674.53
Accipitriformes,Accipitridae,Melierax poliopterus,Eastern Chanting-goshawk,629.88
Accipitriformes,Accipitridae,Melierax canorus,Pale Chanting-goshawk,663.32
Accipitriformes,Accipitridae,Melierax gabar,Gabar Goshawk,169.55
Accipitriformes,Accipitridae,Accipiter poliogaster,Gray-bellied Hawk,1369.41
Accipitriformes,Accipitridae,Accipiter trivirgatus,Crested Goshawk,265.04
Accipitriformes,Accipitridae,Accipiter griseiceps,Sulawesi Goshawk,251.76
Accipitriformes,Accipitridae,Accipiter tachiro,African Goshawk,381
Accipitriformes,Accipitridae,Accipiter castanilius,Chestnut-flanked Sparrowhawk,157.51
Accipitriformes,Accipitridae,Accipiter badius,Shikra,131.15
Accipitriformes,Accipitridae,Accipiter butleri,Nicobar Sparrowhawk,332.94
Accipitriformes,Accipitridae,Accipiter brevipes,Levant Sparrowhawk,186.48
Accipitriformes,Accipitridae,Accipiter soloensis,Chinese Goshawk,164.77
Accipitriformes,Accipitridae,Accipiter francesiae,Frances's Sparrowhawk,136.82
Accipitriformes,Accipitridae,Accipiter trinotatus,Spot-tailed Goshawk,146
Accipitriformes,Accipitridae,Accipiter novaehollandiae,Grey Goshawk,326.06
Accipitriformes,Accipitridae,Accipiter fasciatus,Brown Goshawk,358.66
Accipitriformes,Accipitridae,Accipiter melanochlamys,Black-mantled Goshawk,265
Accipitriformes,Accipitridae,Accipiter albogularis,Pied Goshawk,248.75
Accipitriformes,Accipitridae,Accipiter haplochrous,White-bellied Goshawk,198.41
Accipitriformes,Accipitridae,Accipiter rufitorques,Fiji Goshawk,209
Accipitriformes,Accipitridae,Accipiter henicogrammus,Moluccan Goshawk,332.94
Accipitriformes,Accipitridae,Accipiter luteoschistaceus,Slaty-mantled Sparrowhawk,214
Accipitriformes,Accipitridae,Accipiter imitator,Imitator Sparrowhawk,222.49
Accipitriformes,Accipitridae,Accipiter poliocephalus,Grey-headed Goshawk,214.76
Accipitriformes,Accipitridae,Accipiter princeps,New Britain Goshawk,332.94
Accipitriformes,Accipitridae,Accipiter superciliosus,Tiny Hawk,99.51
Accipitriformes,Accipitridae,Accipiter collaris,Semicollared Hawk,332.94
Accipitriformes,Accipitridae,Accipiter erythropus,Red-thighed Sparrowhawk,111.2
Accipitriformes,Accipitridae,Accipiter minullus,Little Sparrowhawk,87.43
Accipitriformes,Accipitridae,Accipiter gularis,Japanese Sparrowhawk,120.66
Accipitriformes,Accipitridae,Accipiter virgatus,Besra,116.99
Accipitriformes,Accipitridae,Accipiter nanus,Small Sparrowhawk,332.94
Accipitriformes,Accipitridae,Accipiter erythrauchen,Rufous-necked Sparrowhawk,156
Accipitriformes,Accipitridae,Accipiter cirrocephalus,Collared Sparrowhawk,165.73
Accipitriformes,Accipitridae,Accipiter brachyurus,New Britain Sparrowhawk,142
Accipitriformes,Accipitridae,Accipiter rhodogaster,Vinous-breasted Sparrowhawk,172.71
Accipitriformes,Accipitridae,Accipiter madagascariensis,Madagascar Sparrowhawk,180.41
Accipitriformes,Accipitridae,Accipiter ovampensis,Ovampo Sparrowhawk,195
Accipitriformes,Accipitridae,Accipiter nisus,Eurasian Sparrowhawk,220.79
Accipitriformes,Accipitridae,Accipiter rufiventris,Rufous-chested Sparrowhawk,198
Accipitriformes,Accipitridae,Accipiter striatus,Sharp-shinned Hawk,130.59
Accipitriformes,Accipitridae,Accipiter chionogaster,White-breasted Hawk,332.94
Accipitriformes,Accipitridae,Accipiter ventralis,Plain-breasted Hawk,233
Accipitriformes,Accipitridae,Accipiter erythronemius,Rufous-thighed Hawk,125
Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,429.67
Accipitriformes,Accipitridae,Accipiter gundlachi,Gundlach's Hawk,675
Accipitriformes,Accipitridae,Accipiter bicolor,Bicoloured Hawk,287.54
Accipitriformes,Accipitridae,Accipiter chilensis,Chilean Hawk,368
Accipitriformes,Accipitridae,Accipiter melanoleucus,Black Goshawk,698.99
Accipitriformes,Accipitridae,Accipiter henstii,Henst's Goshawk,1050
Accipitriformes,Accipitridae,Accipiter gentilis,Northern Goshawk,866.04
Accipitriformes,Accipitridae,Accipiter meyerianus,Meyer's Goshawk,763.54
Accipitriformes,Accipitridae,Erythrotriorchis buergersi,Chestnut-shouldered Goshawk,575
Accipitriformes,Accipitridae,Erythrotriorchis radiatus,Red Goshawk,887.35
Accipitriformes,Accipitridae,Megatriorchis doriae,Doria's Goshawk,999.99
Accipitriformes,Accipitridae,Urotriorchis macrourus,Long-tailed Hawk,492
Accipitriformes,Accipitridae,Butastur rufipennis,Grasshopper Buzzard,334.87
Accipitriformes,Accipitridae,Butastur teesa,White-eyed Buzzard,325
Accipitriformes,Accipitridae,Butastur liventer,Rufous-winged Buzzard,337.99
Accipitriformes,Accipitridae,Butastur indicus,Grey-faced Buzzard,414.6
Accipitriformes,Accipitridae,Geranospiza caerulescens,Crane Hawk,302.5
Accipitriformes,Accipitridae,Leucopternis plumbeus,Plumbeous Hawk,482
Accipitriformes,Accipitridae,Leucopternis schistaceus,Slate-coloured Hawk,999.99
Accipitriformes,Accipitridae,Leucopternis princeps,Barred Hawk,999.99
Accipitriformes,Accipitridae,Leucopternis melanops,Black-faced Hawk,312
Accipitriformes,Accipitridae,Leucopternis kuhli,White-browed Hawk,352.09
Accipitriformes,Accipitridae,Leucopternis lacernulatus,White-necked Hawk,595.5
Accipitriformes,Accipitridae,Leucopternis semiplumbeus,Semiplumbeous Hawk,285.04
Accipitriformes,Accipitridae,Leucopternis albicollis,White Hawk,703.7
Accipitriformes,Accipitridae,Leucopternis occidentalis,Grey-backed Hawk,659.99
Accipitriformes,Accipitridae,Leucopternis polionotus,Mantled Hawk,595.5
Accipitriformes,Accipitridae,Buteogallus aequinoctialis,Rufous Crab-hawk,657.63
Accipitriformes,Accipitridae,Buteogallus anthracinus,Common Black-hawk,975.09
Accipitriformes,Accipitridae,Buteogallus urubitinga,Great Black-hawk,1152.87
Accipitriformes,Accipitridae,Buteogallus meridionalis,Savanna Hawk,807.99
Accipitriformes,Accipitridae,Parabuteo unicinctus,Harris's Hawk,850.28
Accipitriformes,Accipitridae,Busarellus nigricollis,Black-collared Hawk,766.14
Accipitriformes,Accipitridae,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,2378.62
Accipitriformes,Accipitridae,Harpyhaliaetus solitarius,Solitary Eagle,3000
Accipitriformes,Accipitridae,Harpyhaliaetus coronatus,Crowned Eagle,2950
Accipitriformes,Accipitridae,Buteo nitidus,Grey Hawk,519.04
Accipitriformes,Accipitridae,Buteo magnirostris,Roadside Hawk,269
Accipitriformes,Accipitridae,Buteo lineatus,Red-shouldered Hawk,603.72
Accipitriformes,Accipitridae,Buteo ridgwayi,Ridgway's Hawk,866.4
Accipitriformes,Accipitridae,Buteo platypterus,Broad-winged Hawk,453.65
Accipitriformes,Accipitridae,Buteo leucorrhous,White-rumped Hawk,290
Accipitriformes,Accipitridae,Buteo brachyurus,Short-tailed Hawk,496.01
Accipitriformes,Accipitridae,Buteo albigula,White-throated Hawk,524.99
Accipitriformes,Accipitridae,Buteo swainsoni,Swainson's Hawk,946.61
Accipitriformes,Accipitridae,Buteo galapagoensis,Galapagos Hawk,1137.44
Accipitriformes,Accipitridae,Buteo albicaudatus,White-tailed Hawk,885
Accipitriformes,Accipitridae,Buteo polyosoma,Red-backed Hawk,782.61
Accipitriformes,Accipitridae,Buteo albonotatus,Zone-tailed Hawk,745.92
Accipitriformes,Accipitridae,Buteo solitarius,Hawaiian Hawk,500.88
Accipitriformes,Accipitridae,Buteo jamaicensis,Red-tailed Hawk,1101.16
Accipitriformes,Accipitridae,Buteo ventralis,Rufous-tailed Hawk,1190.52
Accipitriformes,Accipitridae,Buteo buteo,Common Buzzard,759.1
Accipitriformes,Accipitridae,Buteo oreophilus,Mountain Buzzard,699.99
Accipitriformes,Accipitridae,Buteo brachypterus,Madagascar Buzzard,511
Accipitriformes,Accipitridae,Buteo rufinus,Long-legged Buzzard,1166.18
Accipitriformes,Accipitridae,Buteo hemilasius,Upland Buzzard,1358.89
Accipitriformes,Accipitridae,Buteo regalis,Ferruginous Hawk,1437.18
Accipitriformes,Accipitridae,Buteo lagopus,Rough-legged Hawk,949.76
Accipitriformes,Accipitridae,Buteo auguralis,Red-necked Buzzard,663.92
Accipitriformes,Accipitridae,Buteo augur,Augur Buzzard,1099.18
Accipitriformes,Accipitridae,Buteo archeri,Archer's Buzzard,866.4
Accipitriformes,Accipitridae,Buteo rufofuscus,Jackal Buzzard,1530
Accipitriformes,Accipitridae,Morphnus guianensis,Crested Eagle,1750
Accipitriformes,Accipitridae,Harpia harpyja,Harpy Eagle,4800
Accipitriformes,Accipitridae,Harpyopsis novaeguineae,New Guinea Eagle,1959.59
Accipitriformes,Accipitridae,Pithecophaga jefferyi,Philippine Eagle,5175.32
Accipitriformes,Accipitridae,Ictinaetus malayensis,Black Eagle,1028
Accipitriformes,Accipitridae,Aquila pomarina,Lesser Spotted Eagle,1359.41
Accipitriformes,Accipitridae,Aquila clanga,Greater Spotted Eagle,2154.29
Accipitriformes,Accipitridae,Aquila rapax,Tawny Eagle,2236.06
Accipitriformes,Accipitridae,Aquila nipalensis,Steppe Eagle,2714.33
Accipitriformes,Accipitridae,Aquila adalberti,Spanish Imperial Eagle,2958.03
Accipitriformes,Accipitridae,Aquila heliaca,Eastern Imperial Eagle,3125.21
Accipitriformes,Accipitridae,Aquila gurneyi,Gurney's Eagle,3059.99
Accipitriformes,Accipitridae,Aquila chrysaetos,Golden Eagle,4247.97
Accipitriformes,Accipitridae,Aquila audax,Wedge-tailed Eagle,3449.86
Accipitriformes,Accipitridae,Aquila verreauxii,Verreaux's Eagle,4195
Accipitriformes,Accipitridae,Aquila wahlbergi,Wahlberg's Eagle,639.99
Accipitriformes,Accipitridae,Aquila fasciatus,Bonelli's Eagle,1936.49
